Incident ID,Location,Date,Crime,Address,Longitude,Latitude
OR21‐001,"1009 W STOUGHTON, URBANA",2/20/2021,THEFT $500 AND UNDER,"1009 Stoughton St, Urbana, IL 61801, USA",-88.2218358,40.1132512
CC2105033,"102 E GREEN ST, CHAMPAIGN",2/25/2021,BATTERY,"102 E Green St, Champaign, IL 61820, USA",-88.23841619999999,40.1104381
CC2104994,"211 E GREEN ST, CHAMPAIGN",2/25/2021,DECEPTIVE PRACTICES,"211 E Green St, Champaign, IL 61820, USA",-88.2356592,40.1100049
II2101728,1100 blk of SPRINGFIELD AV Urbana champaign,2/24/2021,THEFT‐IDENTITY,"1100 County Rd 1600 N, Urbana, IL 61801, USA",-88.2223145,40.1127733
II2101719,OGLESBY RESIDENCE HALL Urbana champaign,2/23/2021,CRIM DAMAGE PROP UNDR 150 ARSN,"1005 W College Ct, Urbana, IL 61801, USA",-88.22118479999999,40.0991552
CC2104967,"331 STOUGHTON, CHAMPAIGN",2/24/2021,DOMESTIC BATTERY,"331 E Stoughton St, Champaign, IL 61820, USA",-88.23391,40.1131008
CC2100119,KAMS Urbana champaign,3/6/2020,UNLAWFUL USE OF I.D.,"102 E Green St STE 104, Champaign, IL 61820, USA",-88.2384036,40.1104479
CC2100118,KAMS Urbana champaign,6/12/2020,UNLAWFUL USE OF I.D.,"102 E Green St STE 104, Champaign, IL 61820, USA",-88.2384036,40.1104479
CC2100117,KAMS Urbana champaign,8/29/2020,UNLAWFUL USE OF I.D.,"102 E Green St STE 104, Champaign, IL 61820, USA",-88.2384036,40.1104479
CC2100116,KAMS Urbana champaign,2/1/2020,UNLAWFUL USE OF I.D.,"102 E Green St STE 104, Champaign, IL 61820, USA",-88.2384036,40.1104479
CC2100115,KAMS Urbana champaign,3/7/2020,UNLAWFUL USE OF I.D.,"102 E Green St STE 104, Champaign, IL 61820, USA",-88.2384036,40.1104479
CC2100114,KAMS Urbana champaign,2/7/2020,UNLAWFUL USE OF I.D.,"102 E Green St STE 104, Champaign, IL 61820, USA",-88.2384036,40.1104479
CC2100090,00 blk of E HEALEY ST Urbana champaign,1/5/2021,BURGLARY RESIDENTIAL,"408 E Healey St, Champaign, IL 61820, USA",-88.2331059,40.1118393
CC2100062,500 blk of STOUGHTON ST Urbana champaign,1/4/2020,TRESPASS TO LAND/REAL PROPERTY,"500 Stoughton St, Urbana, IL 61801, USA",-88.21319749999999,40.1130184
CC2100020,100 blk of E JOHN ST Urbana champaign,1/2/2021,BURGLARY FROM MOTOR VEHICLE,"100 E John St, Champaign, IL 61820, USA",-88.2386784,40.1090133
IF2100102,SCOTT RESIDENCE HALL Urbana champaign,2/24/2021,THEFT $500 AND UNDER,"202 E Peabody Dr, Champaign, IL 61820, USA",-88.2366612,40.1019657
CC2104723,"910 S THIRD, CHAMPAIGN",2/22/2021,CRIMINAL DAMAGE,"910 S 3rd St, Champaign, IL 61820, USA",-88.2351094,40.1072048
CC2104667,"1006 S THIRD, CHAMPAIGN",2/22/2021,CRIMINAL DAMAGE,"1006 S 3rd St, Champaign, IL 61820, USA",-88.2349247,40.1059899
00610‐2021,OGLESBY RESIDENCE HALL Urbana champaign,2/19/2021,LIQUOR‐ILLEGAL POSS. BY MINOR,"1005 W College Ct, Urbana, IL 61801, USA",-88.22118479999999,40.0991552
II2101658,SOUTH GARAGE AND CARPOOL Urbana champaign,2/1/2021,THEFT OF MOTOR VEH PARTS & ACCESS,"Garage and Carpool, E32, Champaign, IL 61820, USA",-88.2421677,40.0966257
CSA21‐010,ON CAMPUS Urbana champaign,2/17/2021,SEXUAL HARASSMENT,"1010 W University Ave, Urbana, IL 61801, USA",-88.2219593,40.1165658
CC2104596,"203 E HEALEY, CHAMPAIGN",2/21/2021,CRIMINAL DAMAGE,"203 E Healey St, Champaign, IL 61820, USA",-88.23657209999999,40.1112189
CC2104588,"29 E GREEN ST, CHAMPAIGN",2/21/2021,DOMESTIC BATTERY,"29 E Green St, Champaign, IL 61820, USA",-88.2413645,40.1100114
CC2104582,"410 E JOHN, CHAMPAIGN",2/21/2021,BATTERY,"410 E John St, Champaign, IL 61820, USA",-88.23244509999999,40.1094677
CC2104580,"331 STOUGHTON, CHAMPAIGN",2/21/2021,THEFT,"331 E Stoughton St, Champaign, IL 61820, USA",-88.23391,40.1131008
CC2104471,"307 E ARMORY, CHAMPAIGN",2/20/2021,DOMESTIC BATTERY,"307 E Armory Ave, Champaign, IL 61820, USA",-88.23463199999999,40.1052621
IF2100094,LINCOLN AVE/OHIO ST Urbana champaign,2/21/2021,LIQUOR‐UNDERAGE,"S Lincoln Ave & W Ohio St, Urbana, IL 61801, USA",-88.21919419999999,40.1036863
